name,year,denom_total_pop,PM2.5 Concentration
Irwindale,2021,1711,12
Pico-Union,2021,40930,12
Glendora,2021,55094,12
Industry,2021,22662,12
Sylmar,2021,80445,11
Torrance,2021,144869,12
Alhambra,2021,84458,12
Pico Rivera,2021,64052,12
Rolling Hills Estates,2021,10254,12
Signal Hill,2021,11719,12
Hawthorne,2021,91662,12
North Hills,2021,63595,12
Hacienda Heights,2021,53409,12
Harbor Gateway,2021,42270,12
Lopez/Kagel Canyons,2021,1491,11
Citrus,2021,12967,12
Lake Balboa,2021,27039,13
Granada Hills,2021,53299,11
Palms,2021,39879,12
Santa Monica,2021,89958,12
Pacoima,2021,78751,11
Toluca Lake,2021,9425,12
Veterans Administration,2021,1225,12
Valley Village,2021,25378,12
Brentwood,2021,33635,12
Pomona,2021,153428,13
South Whittier,2021,55625,12
Pasadena,2021,144170,11
Winnetka,2021,54520,12
Palmdale,2021,158719,8
Porter Ranch,2021,25008,11
South El Monte,2021,20170,12
Tujunga Canyons,2021,7951,10
Commerce,2021,13891,12
San Fernando,2021,24527,11
Sherman Oaks,2021,71933,12
Bradbury,2021,1121,12
Panorama City,2021,69537,12
Northridge,2021,68685,12
Culver City,2021,35723,12
Lakewood,2021,80365,12
Compton,2021,99731,12
Vernon,2021,362,12
San Dimas,2021,35427,12
Inglewood,2021,111250,12
Charter Oak,2021,9157,12
Paramount,2021,55283,12
San Pedro,2021,80691,12
Lincoln Heights,2021,29692,13
Boyle Heights,2021,94098,12
Historic South-Central,2021,50712,12
Avalon,2021,3653,8
Westlake,2021,112346,12
Mission Hills,2021,19300,11
Quartz Hill,2021,9973,7
Marina del Rey,2021,9608,12
Bell,2021,35727,12
Long Beach,2021,464664,12
San Gabriel,2021,40771,12
Downey,2021,112982,12
Diamond Bar,2021,45425,12
La Canada Flintridge,2021,21365,11
West Covina,2021,108602,12
Redondo Beach,2021,67216,12
Vermont Square,2021,53005,12
Santa Fe Springs,2021,22891,12
Calabasas,2021,19179,10
Altadena,2021,43046,11
Bell Gardens,2021,42465,12
Sun Valley,2021,69559,11
Playa Vista,2021,14126,12
Carson,2021,91766,12
Hollywood Hills,2021,20841,12
Lancaster,2021,156796,7
Leona Valley,2021,2342,7
Whittier,2021,82775,12
Walnut,2021,29822,12
Castaic Canyons,2021,46735,10
Silver Lake,2021,30715,12
Whittier Narrows,2021,7158,12
Glendale,2021,200053,12
West Whittier-Los Nietos,2021,23720,12
Atwater Village,2021,12309,12
East Whittier,2021,10182,12
El Sereno,2021,41760,12
Montecito Heights,2021,19399,12
Florence,2021,54881,12
Huntington Park,2021,60264,12
Cheviot Hills,2021,7782,12
Cypress Park,2021,9466,12
Desert View Highlands,2021,1904,8
Baldwin Park,2021,75320,12
Montebello,2021,63054,12
Leimert Park,2021,12259,12
Santa Clarita,2021,177639,10
Elysian Park,2021,2538,13
Wilmington,2021,57350,12
Jefferson Park,2021,26259,12
Downtown,2021,57758,12
Encino,2021,48196,12
West Adams,2021,20298,12
Hawaiian Gardens,2021,14918,12
Agoura Hills,2021,17871,10
Baldwin Hills/Crenshaw,2021,30182,12
Lake View Terrace,2021,13632,11
Adams-Normandie,2021,18774,12
El Monte,2021,110257,12
Rancho Dominguez,2021,3241,12
Acton,2021,2914,9
Studio City,2021,40843,12
La Puente,2021,40083,12
North Hollywood,2021,78934,12
Rosemead,2021,51507,12
San Marino,2021,13189,11
East San Gabriel,2021,21351,12
South Park,2021,35678,12
Burbank,2021,103524,12
Woodland Hills,2021,64958,11
Angeles Crest,2021,4189,11
East Compton,2021,11855,12
Chatsworth,2021,53394,11
Mayflower Village,2021,10377,12
Koreatown,2021,106413,12
South Gate,2021,94734,12
Elysian Valley,2021,7516,12
Claremont,2021,39020,13
Avocado Heights,2021,13819,12
South San Gabriel,2021,8771,12
Northwest Antelope Valley,2021,5653,6
Echo Park,2021,34839,12
Lynwood,2021,69834,12
Unincorporated Santa Susana Mountains,2021,23709,10
Shadow Hills,2021,14090,11
La Habra Heights,2021,10700,12
Covina,2021,54278,12
Northwest Palmdale,2021,4282,7
Sawtelle,2021,41233,12
Rancho Park,2021,5211,12
East Los Angeles,2021,119837,12
Beverlywood,2021,6792,12
Bellflower,2021,77176,12
Azusa,2021,46023,12
Del Rey,2021,30099,12
Mid-Wilshire,2021,42098,12
North Whittier,2021,7092,12
Beverly Crest,2021,10552,11
Cerritos,2021,50176,12
West Hills,2021,40255,11
Vincent,2021,13413,12
Sun Village,2021,1888,8
Playa del Rey,2021,11578,12
Valinda,2021,19422,12
Tujunga,2021,26935,11
Exposition Park,2021,36123,12
Eagle Rock,2021,34964,12
Harbor City,2021,26052,12
Southeast Antelope Valley,2021,8322,8
Reseda,2021,73889,14
Willowbrook,2021,37963,12
Highland Park,2021,51798,12
Temple City,2021,37033,12
Westlake Village,2021,7835,9
Pico-Robertson,2021,16257,12
Monrovia,2021,38538,12
Broadway-Manchester,2021,29526,12
Sunland,2021,14278,11
Agua Dulce,2021,4610,9
Malibu,2021,9649,10
Topanga,2021,7361,11
Northeast Antelope Valley,2021,23518,7
Arleta,2021,36475,12
Van Nuys,2021,113694,12
Mar Vista,2021,37277,12
Valley Glen,2021,58154,12
Arcadia,2021,61766,12
Windsor Square,2021,6233,12
West Puente Valley,2021,20379,12
Central-Alameda,2021,46194,12
Arlington Heights,2021,21414,12
Harvard Heights,2021,18536,12
Harvard Park,2021,9950,12
East Hollywood,2021,64727,12
Lennox,2021,18778,12
Larchmont,2021,8646,12
Tarzana,2021,37501,13
Rolling Hills,2021,2690,11
Mid-City,2021,50046,12
Westchester,2021,40895,12
Manchester Square,2021,12584,12
Rowland Heights,2021,42832,12
Ridge Route,2021,7018,7
South San Jose Hills,2021,19712,12
Vermont-Slauson,2021,29968,12
Athens,2021,10044,12
Mount Washington,2021,14253,12
West Compton,2021,6712,12
Los Feliz,2021,32328,12
Chinatown,2021,15602,13
Century City,2021,5908,12
Florence-Firestone,2021,64355,12
University Park,2021,24221,12
Hollywood Hills West,2021,14741,12
Unincorporated Santa Monica Mountains,2021,23009,10
West Los Angeles,2021,13489,12
Hancock Park,2021,10336,12
Canoga Park,2021,61973,11
Chesterfield Square,2021,8357,12
Hidden Hills,2021,2315,10
Norwalk,2021,104237,12
North El Monte,2021,2290,12
Monterey Park,2021,60714,12
Hollywood,2021,72336,12
Fairfax,2021,13677,12
Glassell Park,2021,24148,12
Watts,2021,43975,12
La Verne,2021,31823,13
Rancho Palos Verdes,2021,41708,11
Green Meadows,2021,36266,12
Del Aire,2021,8914,12
Vermont Knolls,2021,23222,12
Castaic,2021,11222,9
Westwood,2021,54992,12
Venice,2021,34371,12
South Diamond Bar,2021,5263,12
Universal City,2021,146,12
Pacific Palisades,2021,23000,11
Bel-Air,2021,6709,11
East Pasadena,2021,5839,12
Cudahy,2021,24213,12
Palos Verdes Estates,2021,13101,12
Ladera Heights,2021,12000,12
Walnut Park,2021,15701,12
La Crescenta-Montrose,2021,18113,11
Gardena,2021,59393,12
Duarte,2021,21357,12
La Mirada,2021,48742,12
Maywood,2021,25285,12
Alondra Park,2021,8509,12
Beverly Grove,2021,21276,12
Vermont Vista,2021,26815,12
Lawndale,2021,32590,12
Hyde Park,2021,36524,12
Lomita,2021,19838,12
South Pasadena,2021,25570,11
Westmont,2021,35147,12
San Pasqual,2021,1952,11
West Hollywood,2021,36374,12
Artesia,2021,16692,12
Manhattan Beach,2021,35388,12
West Carson,2021,22016,12
Hermosa Beach,2021,19487,12
Carthay,2021,5126,12
Beverly Hills,2021,34148,12
El Segundo,2021,16712,12
View Park-Windsor Hills,2021,11732,12
Sierra Madre,2021,10920,12
Gramercy Park,2021,10861,12
Aggregated,2021,10039568,12
